Station,Station_Name,X,Y,year,quarter,species,DO,Temperature,pH,Salinity,NH3,PO4,BOD5,COD,TSS,Coliform,Alkalinity,Transparency,CN,As,Cd,Pb,Cu,Hg,Zn,Total_Cr,H2S
NB3,Cảng Cái Lân- vịnh Cửa Lục,2320268,427607,2025,1,cobia,6.508634567260742,20.32448387145996,8.15195369720459,30.34610366821289,0.0404907464981079,0.0170945655554533,35.57597351074219,62.74215698242188,4.197604656219482,0.0,125.64364624023438,0.0,,,,,,,,,
NB3,Cảng Cái Lân- vịnh Cửa Lục,2320268,427607,2025,2,cobia,6.1884074211120605,25.117525100708008,8.184518814086914,30.20352363586425,0.0457193255424499,0.0159892458468675,33.64934539794922,73.99159240722656,2.444859266281128,0.0,123.16292572021484,1.7478238344192505,,,,,,,,,
NB3,Cảng Cái Lân- vịnh Cửa Lục,2320268,427607,2025,3,cobia,5.677357196807861,26.748071670532227,8.194555282592773,30.04117584228516,0.031351413577795,0.0241538193076849,36.00191879272461,82.47220611572266,1.4016342163085938,0.0,129.15823364257812,0.0,,,,,,,,,
NB3,Cảng Cái Lân- vịnh Cửa Lục,2320268,427607,2025,4,cobia,5.907381057739258,24.61306571960449,8.180963516235352,30.80472183227539,0.0257236156612634,0.017078598961234,39.216068267822266,95.00755310058594,2.040571451187134,0.0,131.13003540039062,0.0536771826446056,,,,,,,,,
NB3,Cảng Cái Lân- vịnh Cửa Lục,2320268,427607,2026,1,cobia,6.511907577514648,20.75350570678711,8.237408638000488,32.01126480102539,0.0431546345353126,0.0207385830581188,32.439422607421875,66.56177520751953,2.6079986095428467,459.4632873535156,118.1308135986328,0.0,,,,,,,,,
NB3,Cảng Cái Lân- vịnh Cửa Lục,2320268,427607,2026,2,cobia,5.8032097816467285,26.914072036743164,8.277846336364746,32.02142333984375,0.0607161335647106,0.023037439212203,31.91851234436035,81.72454071044922,3.875680446624756,0.0,115.85780334472656,0.0,,,,,,,,,
NB3,Cảng Cái Lân- vịnh Cửa Lục,2320268,427607,2026,3,cobia,6.286580562591553,27.41926383972168,8.229969024658203,31.21129035949707,0.0567616261541843,0.0458474829792976,37.51588821411133,87.0481948852539,2.4585423469543457,0.0,149.414306640625,0.0,,,,,,,,,
NB3,Cảng Cái Lân- vịnh Cửa Lục,2320268,427607,2026,4,cobia,6.779633045196533,24.52973747253418,8.22402286529541,31.507709503173828,0.0621935166418552,0.0330374576151371,37.83485412597656,89.08548736572266,2.573437213897705,0.0,120.1069107055664,0.0,,,,,,,,,
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2320452,429685,2025,1,cobia,6.279207229614258,18.82832145690918,8.133742332458496,30.128353118896484,0.0531161054968833,0.0138039160519838,32.09942626953125,41.65462493896485,6.17793083190918,0.0,106.44285583496094,0.0,,,,,,,,,
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2320452,429685,2025,2,cobia,6.508035182952881,25.33781814575196,8.217053413391113,29.527734756469727,0.066518135368824,0.0198978036642074,35.21902084350586,76.29377746582031,6.275819301605225,0.0,126.77838897705078,1.211227536201477,,,,,,,,,
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2320452,429685,2025,3,cobia,6.762092590332031,26.80422592163086,8.256278038024902,30.158069610595703,0.0455834567546844,0.0362818203866481,39.33767318725586,84.26416015625,6.795533180236816,0.0,131.90658569335938,0.0,,,,,,,,,
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2320452,429685,2025,4,cobia,5.930549144744873,24.09987449645996,8.197028160095215,30.07569694519043,0.0394946187734603,0.0184193365275859,35.014610290527344,81.51541900634766,6.821585655212402,0.0,123.1045150756836,0.0,,,,,,,,,
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2320452,429685,2026,1,cobia,7.596078872680664,18.987728118896484,8.281933784484863,31.368837356567383,0.0479925870895385,0.0178666356950998,33.99110412597656,79.27432250976562,5.812102794647217,0.0,135.94937133789062,1.895646452903748,,,,,,,,,
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2320452,429685,2026,2,cobia,7.210908889770508,25.59233283996582,8.389771461486816,31.21411323547364,0.0604374706745147,0.0247156489640474,39.64612579345703,120.26428985595705,4.71854305267334,0.0,132.7478485107422,1.6572149991989136,,,,,,,,,
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2320452,429685,2026,3,cobia,6.650521278381348,28.61266326904297,8.222794532775879,31.241743087768555,0.0417497009038925,0.0386456288397312,45.5175895690918,156.45999145507812,4.053323745727539,0.0,144.0758056640625,0.0,,,,,,,,,
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2320452,429685,2026,4,cobia,8.323859214782715,24.341203689575195,8.25645923614502,30.720848083496094,0.0485749989748001,0.0258757695555686,34.5266227722168,104.05372619628906,4.644712448120117,171.60081481933594,129.56109619140625,2.5121591091156006,,,,,,,,,
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2318587,428692,2025,1,cobia,6.245742321014404,18.710756301879883,8.172661781311035,31.011444091796875,0.0488692559301853,0.0193032436072826,33.34047317504883,60.58135223388672,5.49751615524292,0.0,122.6659164428711,0.0,,,,,,,,,
